0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
33   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/watzek343/Documents/geo.lclark/jetty/contexts at interval 0
58   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/watzek343/Documents/geo.lclark/jetty/contexts/solr.xml
1148 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1267 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1289 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1289 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/watzek343/Documents/geo.lclark/jetty/solr
1290 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/watzek343/Documents/geo.lclark/jetty/solr/'
1291 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/watzek343/Documents/geo.lclark/jetty/solr/lib/contrib/' to classloader
1292 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/watzek343/Documents/geo.lclark/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1292 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/watzek343/Documents/geo.lclark/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1292 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/watzek343/Documents/geo.lclark/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
1465 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/watzek343/Documents/geo.lclark/jetty/solr/solr.xml
1708 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/watzek343/Documents/geo.lclark/jetty/solr
1732 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1456339771
1733 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/watzek343/Documents/geo.lclark/jetty/solr/]
1735 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/watzek343/Documents/geo.lclark/jetty/solr/lib
1735 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/watzek343/Documents/geo.lclark/jetty/solr/lib/contrib/' to classloader
1735 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/watzek343/Documents/geo.lclark/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1736 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/watzek343/Documents/geo.lclark/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1736 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/watzek343/Documents/geo.lclark/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
1771 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
1772 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
1775 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
1775 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
